player_name,position,height,height_with_shoes,weight,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year
Jordan Nwora,SF/PF,197.48,200.66,101.15,208.92,264.16,11.68,21.59,23.5,2020
Reggie Perry,PF/C,203.84,206.25,113.22,214.0,270.51,8.4,23.5,27.94,2020
Myles Powell,PG/SG,184.15,186.69,88.0,200.66,251.46,15.8,20.32,22.86,2020
Immanuel Quickley,SG,187.96,190.5,84.28,203.84,251.46,8.2,20.32,22.22,2020
Jahmi'us Ramsey,SG,189.23,192.28,87.72,198.12,255.27,3.4,22.22,24.76,2020
Paul Reed Jr.,PF,204.47,206.25,99.43,218.44,278.13,6.83,22.86,22.22,2020
Nick Richards,C,209.55,212.09,109.59,219.08,279.4,8.5,22.86,22.86,2020
Grant Riller,PG/SG,183.52,185.42,80.92,196.22,245.11,5.4,20.32,21.59,2020
Jayden Scrubb,SG/SF,195.58,198.63,84.01,207.01,265.43,3.7,20.96,24.76,2020
Jalen Smith,PF/C,206.38,208.79,101.88,219.08,279.4,3.7,23.5,23.5,2020
Cassius Stanley,SG,195.58,198.63,91.44,200.66,252.73,5.8,20.96,22.86,2020
Lamar Stevens,SF/PF,197.48,199.9,103.42,205.74,256.54,6.8,21.59,24.76,2020
Isaiah Stewart,C,201.3,204.47,110.22,225.42,275.59,7.5,22.86,26.67,2020
Tyrell Terry,PG,186.69,190.5,77.11,187.32,243.84,7.6,19.05,20.96,2020
Killian Tillie,PF,205.1,208.28,100.52,203.2,269.24,12.43,20.96,23.5,2020
Xavier Tillman Sr.,PF/C,201.93,204.47,120.88,218.44,269.24,8.5,26.04,27.94,2020
Kaleb Wesson,C,206.38,208.79,114.58,222.25,283.21,12.5,22.86,27.3,2020
Kahlil Whitney,SF,196.85,200.66,92.99,214.0,267.97,5.3,23.5,26.04,2020
Cassius Winston,PG,184.15,186.69,88.9,198.12,246.38,9.0,22.22,20.96,2020
Robert Woodard II,SF,196.85,200.66,104.42,218.44,267.97,4.5,22.86,27.3,2020
Nickeil Alexander-Walker,SG,193.68,196.85,92.44,207.01,259.08,5.9,21.59,22.22,2019
RJ Barrett,SF,,,,,,,,,2019
Charles Bassey,C,205.1,208.28,108.41,222.25,278.13,8.5,23.5,24.13,2019
Darius Bazley,PF,202.56,205.74,94.53,213.36,271.78,3.6,22.86,24.76,2019
Bol Bol,C,215.26,219.71,94.35,231.14,293.37,7.1,23.5,24.13,2019
Jordan Bone,SG,186.69,189.86,81.19,191.14,241.3,5.0,19.05,23.5,2019
Brian Bowen II,SF,198.76,201.93,90.72,208.28,261.62,6.5,21.59,24.76,2019
Ky Bowman,PG,185.42,188.6,82.19,200.66,248.92,4.9,20.96,22.86,2019
Ignas Brazdeikis,SF,197.48,201.3,100.15,206.38,259.08,6.0,22.22,24.13,2019
O'Shae Brissett,SF/PF,200.66,203.2,92.17,213.36,264.16,2.9,22.86,24.13,2019
Moses Brown,C,216.54,219.71,107.59,225.42,287.02,7.8,24.13,26.04,2019
Brandon Clarke,SF,201.3,203.84,93.98,203.84,259.08,4.9,20.96,24.13,2019
Nicolas Claxton,C,208.28,212.72,98.25,219.71,279.4,4.5,23.5,24.13,2019
Tyler Cook,PF,201.3,205.1,111.31,214.63,270.51,6.1,24.13,27.3,2019
Jarrett Culver,SG,196.22,200.02,88.09,207.01,255.27,5.0,20.96,21.59,2019
Terence Davis,SG,190.5,194.31,87.27,205.1,256.54,4.1,23.5,27.3,2019
Luguentz Dort,PG,189.86,193.68,100.79,204.47,252.73,5.0,21.59,22.86,2019
Devon Dotson,PG,182.88,187.96,81.01,191.14,242.57,5.9,20.96,24.13,2019
Carsen Edwards,PG,179.7,183.52,90.45,198.12,240.03,5.5,22.22,22.86,2019
Tacko Fall,C,226.7,231.14,131.0,249.56,311.15,6.8,26.67,26.67,2019
Bruno Fernando,C,205.1,208.92,107.5,221.62,279.4,5.4,23.5,25.4,2019
Daniel Gafford,PF,206.38,209.55,107.77,219.71,279.4,5.9,23.5,23.5,2019
Darius Garland,PG,,,,,,,,,2019
Quentin Grimes,SG,193.04,196.22,95.07,202.56,255.27,8.4,20.96,25.4,2019
Kyle Guy,SG,184.78,188.6,76.11,194.31,242.57,5.7,20.32,22.22,2019
Jaylen Hands,PG,186.69,190.5,81.83,196.85,246.38,5.1,20.32,20.96,2019
Jared Harper,PG,177.16,180.34,76.75,196.85,238.76,3.9,20.96,24.13,2019
Jaxson Hayes,PF,208.92,212.09,99.16,222.25,280.67,5.0,23.5,26.67,2019
Dewan Hernandez,C,205.74,208.92,105.6,217.8,271.78,6.1,24.13,26.04,2019
Tyler Herro,SG,194.31,198.12,87.27,191.14,255.27,7.1,20.32,22.22,2019
Jalen Hoard,PF,201.3,205.74,96.43,215.26,267.97,6.7,22.22,24.76,2019
Talen Horton-Tucker,SG,189.23,193.04,106.78,216.54,261.62,8.4,24.13,24.76,2019
De'Andre Hunter,,,,,,,,,,2019
